x,y,z,vortZm,vort maia_log min dist,phi,vott math min dist,sim_vort
-0.495993417,0.063170642,0,1.577939233,0.004577894,7.258219838,0.00357648,0.00288496
-0.493556988,0.080009369,0,2.097375371,0.006084874,9.207983852,0.004753809,0.00348863
-0.491194313,0.093424554,0,2.491618432,0.007228646,10.76895854,0.005647381,0.00355969
-0.487559556,0.110840783,0,3.082287707,0.008942287,12.80781868,0.006986163,0.00355969
-0.475073626,0.155900769,0,4.652789691,0.013498604,18.16783313,0.010545786,0.00725552
-0.467075748,0.178438352,0,5.178482454,0.015023736,20.90850716,0.011737296,0.00657827
-0.460722777,0.194253759,0,5.63577653,0.016350431,22.86166464,0.012773777,0.00568405
-0.450915671,0.216044111,0,6.201417761,0.017991461,25.60015712,0.014055831,0.00871808
-0.4400847,0.237329849,0,6.793691305,0.019709756,28.33719529,0.01539825,0.00719664
-0.424650749,0.263954052,0,7.409088605,0.021495137,31.86422249,0.016793079,0.0096763
-0.406583164,0.291015689,0,7.942380212,0.023042315,35.59354611,0.018001812,0.0117774
-0.384592069,0.3195136,0,8.460601384,0.024545771,39.71931843,0.019176387,0.0137823
-0.356995243,0.350077701,0,8.961543366,0.025999096,44.43947323,0.020311798,0.0122246
-0.332089088,0.373787156,0,9.236956017,0.026798119,48.38069189,0.020936035,0.0124042
-0.308292098,0.393644487,0,9.39161431,0.027246812,51.9328788,0.021286576,0.0120474
-0.282011218,0.412879732,0,9.412649363,0.027307838,55.66556499,0.021334253,0.0115866
-0.24815112,0.434074904,0,9.330805378,0.027070394,60.24434181,0.021148749,0.0128833
-0.220586505,0.448711036,0,9.032714358,0.026205576,63.82125224,0.02047311,0.0150607
-0.177119786,0.467577353,0,8.574632523,0.024876596,69.25315328,0.019434844,0.0146204
-0.144769441,0.478583127,0,8.095311494,0.023485997,73.16964844,0.018348439,0.0162779
-0.099296422,0.49004104,0,7.459529417,0.021641476,78.54531557,0.016907406,0.0135687
-0.075228519,0.494308274,0,6.875542491,0.019947221,81.3465865,0.01558377,0.0141184
-0.051042888,0.4973878,0,6.42246651,0.018632764,84.14070857,0.01455685,0.0142778
-0.026704237,0.499286374,0,5.902872265,0.017125325,86.93846318,0.013379163,0.0139212
0.002382245,0.499994325,0,5.213568026,0.015125526,90.2729862,0.011816819,0.0124077
0.018656723,0.499651805,0,4.862712304,0.014107628,92.13839939,0.011021587,0.0124077
0.171891677,0.469524495,0,1.823144358,0.005289279,110.1075449,0.00413225,0.00649479
0.200958139,0.45783821,0,1.276485088,0.00370332,113.698029,0.002893219,0.00615744
0.228152239,0.444911852,0,0.871561833,0.002528562,117.1488981,0.00197544,0.00476868
0.259416251,0.427437959,0,0.561366594,0.001628628,121.2539706,0.001272366,0.00343451
0.298703533,0.400969075,0,0.129917071,0.000376913,126.6844173,0.000294464,0.00250492
0.329247935,0.37629217,0,-0.182920191,-0.000530685,131.1852599,-0.000414598,0.00167738
0.352872201,0.35423327,0,-0.401699033,-0.001165403,134.8897146,-0.000910471,0.00106934
0.381160767,0.323599242,0,-0.565833477,-0.001641588,139.6692889,-0.001282491,0.000677153
0.415741968,0.277774398,0,-0.776902566,-0.002253938,146.2514772,-0.00176089,0.000202947
0.435079673,0.246385224,0,-0.880838271,-0.002555475,150.4771617,-0.001996465,-0.000220061
0.450058582,0.217823949,0,-0.950476163,-0.002757507,154.1734722,-0.002154303,-0.000550338
0.464026458,0.186224183,0,-1.015957112,-0.00294748,158.1333062,-0.002302719,-0.000364601
0.475772217,0.153755641,0,-1.036519477,-0.003007135,162.0906874,-0.002349325,-0.000781507
0.485231338,0.120625655,0,-0.901901734,-0.002616584,166.0395945,-0.002044207,-0.000371946
0.492672563,0.085286257,0,-0.631361068,-0.001831695,170.1788921,-0.001431012,-0.000448857
0.49719259,0.052910568,0,-0.41499398,-0.001203974,173.9255222,-0.000940605,-0.000393608
0.498949684,0.032391558,0,-0.164522989,-0.000477312,176.2855996,-0.0003729,-0.000264267
