x,y,z,vortZm
-0.545592759,-0.069487706,0,0.00357648
-0.542912687,-0.088010306,0,0.004753809
-0.540313744,-0.102767009,0,0.005647381
-0.536315512,-0.121924861,0,0.006986163
-0.522580989,-0.171490846,0,0.010545786
-0.513783323,-0.196282187,0,0.011737296
-0.506795055,-0.213679135,0,0.012773777
-0.496007238,-0.237648522,0,0.014055831
-0.48409317,-0.261062834,0,0.01539825
-0.467115824,-0.290349457,0,0.016793079
-0.44724148,-0.320117258,0,0.018001812
-0.423051276,-0.35146496,0,0.019176387
-0.392694767,-0.385085471,0,0.020311798
-0.365297997,-0.411165871,0,0.020936035
-0.339121308,-0.433008936,0,0.021286576
-0.31021234,-0.454167705,0,0.021334253
-0.272966232,-0.477482394,0,0.021148749
-0.242645155,-0.49358214,0,0.02047311
-0.194831765,-0.514335089,0,0.019434844
-0.159246385,-0.526441439,0,0.018348439
-0.109226064,-0.539045144,0,0.016907406
-0.082751371,-0.543739102,0,0.01558377
-0.056147177,-0.54712658,0,0.01455685
-0.029374661,-0.549215012,0,0.013379163
0.002620469,-0.549993757,0,0.011816819
0.020522395,-0.549616986,0,0.011021587
0.189080845,-0.516476944,0,0.00413225
0.221053953,-0.503622031,0,0.002893219
0.250967463,-0.489403037,0,0.00197544
0.285357876,-0.470181755,0,0.001272366
0.328573886,-0.441065983,0,0.000294464
0.362172729,-0.413921387,0,-0.000414598
0.388159421,-0.389656597,0,-0.000910471
0.419276844,-0.355959166,0,-0.001282491
0.457316165,-0.305551838,0,-0.00176089
0.47858764,-0.271023746,0,-0.001996465
0.49506444,-0.239606344,0,-0.002154303
0.510429104,-0.204846601,0,-0.002302719
0.523349439,-0.169131205,0,-0.002349325
0.533754472,-0.13268822,0,-0.002044207
0.541939819,-0.093814883,0,-0.001431012
0.546911849,-0.058201625,0,-0.000940605
0.548844652,-0.035630714,0,-0.0003729
